date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:41:27	333834/333834	---M--	200	added ('OK')	image/svg+xml	etag:%224cc010b-5180a-517f7d85eb680%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/fonts/ionicons.svg?v=2.0.0	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/fonts/ionicons28b5.svg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/css/ionicons.css)
21:41:28	2805/2805	---M--	200	added ('OK')	image/png	etag:%224cc0e8b-af5-517f7d4acab00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/pattern.png	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/pattern.png	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/style.css)
21:41:34	33702/33702	---M--	200	added ('OK')	image/png	etag:%224cc0119-83a6-517f7d33e7500%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/bread-bg.png	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/bread-bg.png	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/style.css)
21:41:34	67904/67904	---M--	200	added ('OK')	application/x-font-woff	etag:%224cc010d-10940-517f7d87d3b00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/fonts/ionicons.woff?v=2.0.0	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/fonts/ionicons28b5.woff	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/css/ionicons.css)
21:41:34	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Dec%202015%2002:41:34%20GMT	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/assets/img/bread-bg.png	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/assets/img/bread-bg.49.delayed	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/style.css)
21:41:39	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224cc010a-1d794-517f7d8403200%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/fonts/ionicons.eot?v=2.0.0	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/fonts/ionicons28b5.eot	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/css/ionicons.css)
21:41:52	188508/188508	---M--	200	added ('OK')	application/x-font-ttf	etag:%224cc010c-2e05c-517f7d87d3b00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/fonts/ionicons.ttf?v=2.0.0	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/fonts/ionicons28b5.ttf	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/icons/css/ionicons.css)
21:41:53	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Dec%202015%2002:41:53%20GMT	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/fonts/flexslider-icon.eot	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/fonts/flexslider-icon.4d.delayed	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/flexslider.css)
21:41:53	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Dec%202015%2002:41:53%20GMT	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/fonts/flexslider-icon.eot?	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/fonts/flexslider-icond41d.eot	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/flexslider.css)
21:41:53	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Dec%202015%2002:41:53%20GMT	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/fonts/flexslider-icon.woff	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/fonts/flexslider-icon.woff	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/flexslider.css)
